NrZawodnika;NrChip;Klasyfikacja;Kategoria;Imie;Nazwisko;Plec;Wiek;DataUrodzenia;Panstwo;Miasto;NazwaKlubu;Telefon
26;26;8KM;K16-99;Justyna;Mueller;K;70;1954-06-04;POL;Ostrów Wielkopolski;CzeladŸ Running Team;488856503
27;27;42KM;M16-99;Eryk;Sochaj;M;50;1973-10-25;POL;Wyszków;O³awa Running Team;488857724
28;28;21KM;K16-99;Ada;Pancerz;K;47;1976-12-20;POL;Wo³omin;Chrzanów Running Team;487892947
29;29;8KM;M16-99;Dariusz;Pastuszek;M;46;1977-09-22;POL;Gorzów Wielkopolski;£om¿a Running Team;485761624
30;30;8KM;K16-99;Sandra;D³ubak;K;79;1945-06-03;POL;Ostrów Wielkopolski;Lublin Running Team;698391343
31;31;21KM;M16-99;Oliwier;B³asik;M;39;1985-03-04;POL;Augustów;Sieradz Running Team;793247273
32;32;42KM;K16-99;Aniela;Mich;K;55;1969-04-17;POL;Bia³a Podlaska;£owicz Running Team;485358399
33;33;42KM;M16-99;Mieszko;Szumny;M;93;1931-08-28;POL;Wa³brzych;Sosnowiec Running Team;734477517
34;34;8KM;K16-99;Gaja;Ko³aczyk;K;88;1936-03-11;POL;Nowa Ruda;S³upsk Running Team;666994692
35;35;8KM;M16-99;Kajetan;Lenik;M;29;1994-09-26;POL;P³oñsk;Nysa Running Team;531015288
36;36;10KM;M16-99;Iwo;Wardza³a;M;69;1955-04-30;POL;£om¿a;Olkusz Running Team;537940681
37;37;21KM;M16-99;Maksymilian;Janisz;M;19;2005-05-07;POL;Olkusz;Katowice Running Team;482250687
38;38;42KM;K16-99;Liwia;Wochna;K;67;1957-05-11;POL;Tczew;Brzeg Running Team;739238644
39;39;21KM;M16-99;Stefan;Blank;M;98;1926-01-22;POL;Warszawa;Gorzów Wielkopolski Running Team;608892187
40;40;42KM;K16-99;Eliza;Klaja;K;65;1959-03-06;POL;Zambrów;Wieluñ Running Team;487941511
41;41;8KM;M16-99;Stefan;Pietrusiak;M;16;2007-10-11;POL;£aziska Górne;Goleniów Running Team;486082812
42;42;21KM;K16-99;Julianna;Bogusiewicz;K;30;1994-06-29;POL;Œwidnica;Kraków Running Team;737548639
43;43;8KM;M16-99;Micha³;Gryka;M;26;1998-03-01;POL;Starogard Gdañski;Lubliniec Running Team;487909617
44;44;8KM;K16-99;Tola;Kozieñ;K;21;2003-02-26;POL;Wodzis³aw Œl¹ski;Kalisz Running Team;486097491
45;45;21KM;M16-99;Artur;Janoszek;M;27;1997-03-06;POL;Piekary Œl¹skie;Jas³o Running Team;736777527
46;46;21KM;M16-99;Cyprian;Kurz;M;54;1970-03-27;POL;Lublin;Konin Running Team;669642440
47;47;8KM;K16-99;Kalina;Suszka;K;74;1950-01-14;POL;Knurów;Wejherowo Running Team;483223505
48;48;21KM;K16-99;El¿bieta;Kucharz;K;58;1966-02-10;POL;Gdañsk;Nowa Ruda Running Team;487874538
49;49;42KM;K16-99;Krystyna;Ciak;K;27;1997-02-15;POL;Leszno;Bytom Running Team;482254011
50;50;10KM;K16-99;Sylwia;Elias;K;35;1988-10-21;POL;Pabianice;Chojnice Running Team;487872556
51;51;42KM;K16-99;Janina;Stempniak;K;46;1977-09-20;POL;£uków;Gniezno Running Team;575009156
52;52;10KM;K16-99;Olga;£apacz;K;94;1930-02-18;POL;Cieszyn;G³ogów Running Team;536509835
53;53;42KM;K16-99;Ewa;M¹dro;K;29;1995-08-20;POL;Piastów;Ruda Œl¹ska Running Team;486014941
54;54;8KM;M16-99;Dariusz;Palonek;M;51;1973-07-13;POL;Luboñ;Jastrzêbie-Zdrój Running Team;487325457
55;55;42KM;K16-99;Adrianna;Kawiak;K;17;2007-05-17;POL;Skawina;Zgorzelec Running Team;661330298
56;56;10KM;K16-99;Anna Maria;Antoñczak;K;32;1991-12-24;POL;Szczytno;Tczew Running Team;693097732
57;57;42KM;K16-99;Nicole;Kusek;K;18;2006-07-05;POL;Oœwiêcim;£om¿a Running Team;487827163
58;58;10KM;M16-99;Maciej;Witoñ;M;51;1973-07-01;POL;Bytom;Skawina Running Team;738451711
59;59;8KM;K16-99;Gaja;B¹czkiewicz;K;54;1969-10-21;POL;Miko³ów;P³oñsk Running Team;322352356
60;60;8KM;K16-99;Ada;Nestorowicz;K;82;1942-09-06;POL;Tychy;Augustów Running Team;224925509
61;61;21KM;K16-99;Aurelia;Porwo³;K;88;1935-12-08;POL;E³k;¯ary Running Team;323607366
62;62;21KM;M16-99;Cezary;Skutnik;M;24;2000-04-24;POL;Ko³obrzeg;Pu³awy Running Team;786674857
63;63;10KM;K16-99;Blanka;Fularczyk;K;16;2007-11-14;POL;K³odzko;Dêbica Running Team;733865202
64;64;10KM;M16-99;Mateusz;Nagórka;M;35;1989-03-22;POL;Reda;G³ogów Running Team;664197417
65;65;8KM;M16-99;Franciszek;Kidoñ;M;24;2000-03-18;POL;E³k;Pruszcz Gdañski Running Team;488832265
66;66;21KM;K16-99;Janina;Ciep³a;K;35;1988-12-12;POL;Grudzi¹dz;Bielsk Podlaski Running Team;508974276
67;67;21KM;K16-99;Angelika;Rej;K;73;1950-10-26;POL;Wa³brzych;Wa³brzych Running Team;485387693
68;68;42KM;K16-99;Ada;Gryta;K;96;1927-11-06;POL;£uków;Starachowice Running Team;666842545
69;69;8KM;M16-99;Julian;Buszkiewicz;M;21;2003-01-20;POL;Swarzêdz;Tychy Running Team;538103863
70;70;10KM;K16-99;Nicole;Strójw¹s;K;83;1941-07-29;POL;Leszno;Bia³a Podlaska Running Team;731267368
71;71;8KM;M16-99;Maks;Makurat;M;19;2005-06-15;POL;£owicz;Knurów Running Team;502622170
72;72;21KM;K16-99;Marika;Nó¿ka;K;71;1953-08-15;POL;Suwa³ki;Zakopane Running Team;324393904
73;73;10KM;K16-99;Inga;Tutka;K;52;1972-01-29;POL;Tarnów;Kêtrzyn Running Team;722054325
74;74;10KM;K16-99;Apolonia;Obarzanek;K;73;1950-09-27;POL;Wa³brzych;Radom Running Team;883823652
75;75;21KM;M16-99;Ernest;Wiaderek;M;24;2000-01-11;POL;Pruszków;Zakopane Running Team;487989409
76;76;10KM;K16-99;Inga;Czak;K;31;1992-10-11;POL;Stalowa Wola;Kielce Running Team;486064227
77;77;10KM;M16-99;Kamil;Zegar;M;92;1932-02-27;POL;Ko³o;Rzeszów Running Team;485711325
78;78;21KM;M16-99;Olaf;Furga³a;M;62;1961-11-27;POL;Szczytno;Kwidzyn Running Team;487874401
79;79;10KM;M16-99;Ryszard;Martin;M;84;1940-09-08;POL;Cieszyn;Pszczyna Running Team;485375410
80;80;21KM;M16-99;Adam;Pleban;M;78;1945-11-22;POL;Oleœnica;Bytom Running Team;482278464
81;81;10KM;K16-99;Dagmara;Wêgrzynowicz;K;35;1988-12-15;POL;D¹browa Górnicza;Pabianice Running Team;483235812
82;82;10KM;K16-99;Sandra;Downar;K;89;1934-10-10;POL;Konin;Koœcian Running Team;487865722
83;83;42KM;K16-99;Dagmara;Oleszczak;K;17;2007-01-30;POL;Kwidzyn;Knurów Running Team;483283423
84;84;42KM;K16-99;Inga;Panuœ;K;35;1989-04-20;POL;Starachowice;E³k Running Team;534536988
85;85;42KM;M16-99;Jeremi;Dudko;M;56;1967-10-15;POL;Œwiêtoch³owice;Szczecin Running Team;665487220
86;86;10KM;M16-99;B³a¿ej;Sycz;M;41;1982-12-03;POL;Cieszyn;Stalowa Wola Running Team;883489593
87;87;42KM;M16-99;Przemys³aw;Koœcielak;M;79;1945-06-04;POL;P³ock;Ostrów Wielkopolski Running Team;698867669
88;88;21KM;K16-99;Sylwia;Turoñ;K;48;1975-12-26;POL;W¹growiec;Ostróda Running Team;487338282
89;89;8KM;M16-99;Borys;Sasak;M;51;1973-04-27;POL;Police;Ostrów Wielkopolski Running Team;485744738
90;90;42KM;K16-99;Eliza;Wo³os;K;47;1976-10-30;POL;Oœwiêcim;Myszków Running Team;888130544
91;91;10KM;M16-99;Igor;Gilewicz;M;32;1992-06-28;POL;Jelenia Góra;Z¹bki Running Team;485000871
92;92;10KM;K16-99;Marianna;Pietraœ;K;55;1968-09-15;POL;Gdynia;Kalisz Running Team;485190934
93;93;8KM;K16-99;Aurelia;Szpila;K;93;1931-08-20;POL;Szczecin;Piastów Running Team;485144973
94;94;8KM;M16-99;Cezary;Gubernat;M;81;1943-08-04;POL;Kwidzyn;Nowy Targ Running Team;795287798
95;95;21KM;M16-99;Hubert;Kudlak;M;66;1958-02-16;POL;Tarnowskie Góry;Knurów Running Team;697358482
96;96;42KM;K16-99;Anastazja;¯ach;K;28;1996-02-19;POL;£om¿a;Pi³a Running Team;485706041
97;97;10KM;K16-99;Kamila;Wojnicz;K;24;2000-02-03;POL;Piotrków Trybunalski;Koœcian Running Team;795202924
98;98;21KM;K16-99;Sara;Hajder;K;48;1976-05-10;POL;Pu³awy;Stargard Szczeciñski Running Team;485051685
99;99;21KM;M16-99;Miko³aj;Lelonek;M;96;1928-08-10;POL;Swarzêdz;Tarnowskie Góry Running Team;536713813
100;100;8KM;K16-99;Rozalia;Nickel;K;35;1989-09-06;POL;P³ock;£uków Running Team;724145755
